,Unnamed: 0,words,ner_c,ner_f
1588,1588,"['Nous', 'dirons', 'tout', 'à', 'l', ""'"", 'heure', 'quel', 'effet', 'la', 'comédie', 'et', 'la', 'comédienne', ',', 'Fernande', 'et', 'Mme', 'Pasca', ',', 'qui', 'l', ""'"", 'a', 'créée', ',', 'et', 'qui', 'vient', 'de', 'la', 'reprendre', ',', 'ont', 'produit', 'sur', 'le', 'public', 'de', '1877', '.', 'Je', 'veux', ',', 'en', 'attendant', ',', 'appeler', 'l', ""'"", 'at¬', 'e', 'de', 'représentations', ',', 'suivies', 'de', 'conférences', 'que', 'se', 'propose', 'de', 'donner', 'Mme', 'Marie', 'Dumas', ',', 'au', 'théâtre', 'de', 'la', 'Porte', '-', 'Saint', '-', 'Martin', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'E', 'E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'E', 'E', 'E', 'O', 'O', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 5, 6, 6, 6, 6, 6, 6, 6, 0]"
1589,1589,"['Puisque', 'M', '.', 'Ballande', 'a', 'transporté', 'les', 'Matinées', 'au', 'troisième', 'Théâtre', '-', 'Français', ',', 'la', 'Porte', '-', 'Saint', '-', 'Martin', 'est', 'libre', '.', 'Mme', 'Du¬', 'mas', 'a', 'eu', 'l', ""'"", 'excellente', 'idée', 'de', 'louer', 'la', 'Le', 'général', 'Tchernaïef', '.']","['O', 'E', 'E', 'E', 'O', 'O', 'O', 'O', 'O', 'E', 'E', 'E', 'E', 'O', 'O', 'E', 'E', 'E', 'E', 'E', 'O', 'O', 'O', 'E', 'E', 'E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'E', 'E', 'O']","[0, 1, 2, 2, 0, 0, 0, 0, 0, 5, 6, 6, 6, 0, 0, 5, 6, 6, 6, 6, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0]"
1590,1590,"['Prague', ',', '13', 'janvier', '.']","['E', 'O', 'O', 'O', 'O']","[5, 0, 0, 0, 0]"
1591,1591,"['Sur', 'un', 'ordre', 'de', 'l', ""'"", 'autorité', ',', 'le', 'général', 'Tcher¬', 'naïef', 'a', 'dû', 'quitter', 'Prague', '.', 'Cette', 'expulsion', 'a', 'provoqué', 'quelques', 'rassemblements', 'que', 'la', 'police', 'a', 'dû', 'dissiper', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'E', 'E', 'E', 'O', 'O', 'O', 'E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1592,1592,"['Les', 'dépêches', 'anglaises', 'Le', 'Times', 'publie', 'une', 'dépêche', 'de', 'Vienne', ',', 'datée', 'du', '12', ',', 'dans', 'laquelle', 'on', 'lit:', 'Le', 'général', 'Tchernaief', 'est', 'arrivé', 'à', 'Prague', ',', 'où', 'il', 'a', 'reçu', 'Tchernaief', 'est', 'arrivé', 'à', 'Prague', ',', 'où', 'il', 'a', 'reçu', 'un', 'accueil', 'enthousiaste', 'de', 'la', 'part', 'du', 'club', 'tchèque', '.', 'Une', 'foule', 'immense', 'l', ""'"", 'a', 'accompagné', 'jusqu', ""'"", 'à', 'son', 'hôtel', ',', 'et', 'l', ""'"", 'a', 'salué', 'de', 'ses', 'cris', 'jus¬', 'qu', ""'"", 'à', 'ce', 'qu', ""'"", 'il', 'eût', 'paru', 'sur', 'le', 'balcon', 'pour', 're¬', 'mercier', 'de', 'la', 'réception', 'flatteuse', 'qu', ""'"", 'on', 'lui', 'faisait', '.', 'Le', 'général', 'se', 'rend', 'à', 'Bruxelles', 'et', 'de', 'là', 'à', 'Nice', '.']","['O', 'O', 'O', 'O', 'E', 'O', 'O', 'O', 'O', 'E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'E', 'E', 'O', 'O', 'O', 'E', 'O', 'O', 'O', 'O', 'O', 'E', 'O', 'O', 'O', 'E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'E', 'O', 'O', 'O', 'O', 'E', 'O']","[0, 0, 0, 0, 7, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5, 0]"
1593,1593,"['Le', 'correspondant', 'de', 'Constantinople', 'du', 'Daily', 'Telegraph', 'lui', 'télégraphie', ',', 'à', 'la', 'date', 'du', '11', 'janvier', ',', 'que', 'les', 'Turcs', 'refusent', 'de', 'faire', 'des', 'concessions', ',', 'sauf', 'sur', 'des', 'points', 'secon¬', 'daires', ',', 'et', 'qu', ""'"", 'à', 'la', 'prochaine', 'séance', 'de', 'la', 'conférence', ',', 'les', 'plénipotentiaires', 'se', 'sépare¬', 'ront', ',', 'à', 'moins', 'que', 'les', 'délégués', 'ottomans', 'ne', 'se', 'montrent', 'disposés', 'à', 'accepter', 'les', 'proposi¬', 'tions', 'des', 'puissances', '.', 'Par', 'suite', 'de', 'l', ""'"", 'attitude', 'prise', 'par', 'l', ""'"", 'Allemagne', 'et', 'des', 'difficultés', 'qu', ""'"", 'elle', 'a', 'soulevées', 'pour', 'empêcher', 'd', ""'"", 'arriver', 'à', 'un', 'ar¬', 'rangement', ',', 'les', 'puissances', 'ne', 'peuvent', 'rien', 'retrancher', 'de', 'leur', 'programme', '.', 'Dans', 'les', 'cer¬', 'cles', 'diplomatiques', ',', 'la', 'situation', 'serait', 'consi¬', 'dérée', 'comme', 'très', 'grave', '.']","['O', 'O', 'O', 'E', 'O', 'E', 'E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 5, 0, 7, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1594,1594,"['Bien', 'que', 'la', 'majorité', 'des', 'délégués', 'soit', 'dis¬', 'posée', 'à', 'abandonner', 'le', 'point', 'de', 'vue', 'adopté', 'jusqu', ""'"", 'ici', 'au', 'sujet', 'de', 'la', 'gendarmerie', 'étran¬', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1595,1595,"['.', 'a', 'la', 'lusquie', 'et', 'à', 'modifier', 'les', 'fone¬', 'tions', 'de', 'la', 'commission', 'dans', 'le', 'sens', 'indiqué', 'dans', 'le', 'document', 'lu', 'récemment', 'par', 'Savfet¬', 'Pacha', ',', 'pourvu', 'que', ',', 'sur', 'la', 'voie', 'des', 'conces¬', 'sions', ',', 'la', 'Porte', 'fasse', 'la', 'moitié', 'du', 'chemin', 'et', 'manifeste', 'le', 'désir', 'd', ""'"", 'arriver', 'à', 'un', 'arrange¬', 'ment', 'satisfaisant', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'E', 'E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'E', 'E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1596,1596,"['Mais', 'à', 'ce', 'moment', ',', 'dit', 'le', 'correspondant', ',', 'je', 'ne', 'puis', 'découvrir', 'le', 'moindre', 'symptôme', 'd', ""'"", 'un', 'semblable', 'désir', 'chez', 'le', 'gouvernement', 'otto¬', 'man', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1597,1597,"['Le', 'correspondant', 'raconte', 'ensuite', 'que', 'lors¬', 'que', ',', 'dans', 'la', 'séance', 'de', 'lundi', ',', 'il', 'a', 'été', 'fait', 'al¬', 'lusion', 'à', 'la', 'Note', 'Andrassy', ',', 'Safvet', '-', 'Pacha', 'a', 'dé¬', 'claré', ',', 'à', 'la', 'grande', 'surprise', 'de', 'tous', 'les', 'pléni¬', 'potentiaires', ',', 'qu', ""'"", 'il', 'n', ""'"", 'avait', 'jamais', 'lu', 'ce', 'docu¬', 'ment', ',', 'sous', 'le', 'prétexte', 'que', ',', 'n', ""'"", 'étant', 'pas', 'à', 'cette', 'époque', 'ministre', 'des', 'affaires', 'étrangères', ',', 'n', ""'"", 'a¬', 'vait', 'pas', 'eu', 'connaissance', 'de', 'ce', 'qui', 'se', 'passait', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'E', 'O', 'E', 'E', 'E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1598,1598,"['Il', 'a', 'ajouté', 'que', 'c', ""'"", 'était', 'la', 'première', 'fois', 'qu', ""'"", 'il', 'prenait', 'connaissance', 'du', 'contenu', 'de', 'cette', 'Note', 'et', 'qu', ""'"", 'il', 'était', 'surpris', 'que', 'le', 'comte', 'Andrassy', 'eût', 'osé', 'parler', 'de', 'la', 'Turquie', 'dans', 'les', 'termes', 'dont', ',', 'paraissait', '-', 'il', ',', 'la', 'Note', 'se', 'servait', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'E', 'E', 'O', 'O', 'O', 'O', 'O', 'E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1599,1599,"['Dans', 'une', 'autre', 'dépêche', 'ultérieure', ',', 'le', 'cor¬', 'respondant', 'dit', 'que', 'la', 'Turquie', 'a', 'déclaré', 'qu', ""'"", 'elle', 'acceptait', 'la', 'discussion', 'sur', 'les', 'bases', 'de', 'la', 'Note', 'Andrassy', ',', 'pourvu', 'qu', ""'"", 'elle', 'comprît', 'es', 'déclarations', 'de', 'lord', 'Derby', ',', 'mais', 'qu', ""'"", 'elle', 'efusait', 'toujours', 'd', ""'"", 'accepter', 'le', 'principe', 'de', 'la', 'commission', 'et', 'la', 'proposition', 'de', 'faire', 'nommer', 'e', 'nouveau', 'vali', 'des', 'provinces', 'chrétiennes', 'Dans', 'le', 'cas', 'où', 'les', 'plénipotentiaires', 'parti¬', 'raient', ',', 'ils', 'laisseraient', 'seulement', 'une', 'protes¬', 'tation', ',', 'non', 'un', 'ultimatum', '.', 'Les', 'relations', 'di¬', 'plomatiques', 'ne', 'seraient', 'pas', 'rompues', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'E', 'E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1600,1600,"['Des', 'chargés', 'd', ""'"", 'affaires', 'resteraient', 'à', 'Cons¬', 'fantinople', 'pour', 'défendre', 'les', 'intérêts', 'de', 'leurs', 'nationaux', '.', 'Le', 'cabinet', 'de', 'Saint', '-', 'Pétersbourg', 'resterait', 'libre', 'd', ""'"", 'agir', 'comme', 'il', 'lui', 'plairait', 'Le', 'correspondant', 'de', 'Constantinople', 'du', 'Daily', 'News', 'confirme', 'les', 'informations', 'du', 'Daily', 'Telegraph', 'au', 'sujet', 'de', 'la', 'nouvelle', 'attitude', 'du', 'baron', 'de', 'Werther', 'à', 'la', 'conférence', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'E', 'E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'E', 'E', 'E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'E', 'O', 'E', 'E', 'O', 'O', 'O', 'O', 'E', 'E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'E', 'E', 'E', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 7, 8, 0, 0, 0, 0, 7, 7, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0]"
1601,1601,"['Le', 'Daily', 'Telegraph', 'publie', 'la', 'dépêche', 'sui¬', 'vante', ':', 'Vienne', ',', '12', 'janvier', '.']","['O', 'E', 'E', 'O', 'O', 'O', 'O', 'O', 'O', 'E', 'O', 'O', 'O', 'O']","[0, 7, 8, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0]"
1602,1602,"['Suivant', 'un', 'télégramme', 'de', 'Varsovie', ',', 'huit', 'maisons', 'de', 'cette', 'ville', 'ont', 'fait', 'faillite', ',', 'lais¬', 'sant', 'un', 'passif', 'de', '2', ',', '000', ',', '000', 'de', 'roubles', '.']","['O', 'O', 'O', 'O', 'E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1603,1603,"['BULLETIN', 'DU', '14', 'JANVIER', '1877', 'On', 'dit', 'que', 'le', 'mouvement', 'sous', '-', 'préfec¬', 'toral', ',', 'dont', 'il', 'a', 'été', 'beaucoup', 'question', 'dans', 'ces', 'derniers', 'temps', ',', 'paraîtra', 'au', 'Journal', 'officiel', 'vers', 'la', 'fin', 'de', 'la', 'semaine', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'E', 'E', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 0, 0, 0, 0, 0, 0, 0]"
1604,1604,"['On', 'parle', 'de', 'nouveau', 'de', 'la', 'retraite', 'de', 'l', ""'"", 'amiral', 'Fourichon', '.', 'Le', 'ministre', 'abandon¬', 'nerait', 'décidément', 'son', 'portefeuille', ',', 'que', 'son', 'état', 'de', 'santé', 'ne', 'lui', 'permet', 'pas', 'de', 'con¬', 'server', '.', 'On', 'lui', 'désigne', 'pour', 'successeur', 'l', ""'"", 'amiral', 'Pothuau', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'E', 'E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'E', 'E', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0]"
1605,1605,"['salle', ',', 'et', 'l', ""'"", 'idée', 'meilleure', 'encore', ',', 'd', ""'"", 'y', 'don¬', 'ner', 'des', 'représentations', ',', 'non', 'pas', 'de', 'chefs¬', 'd', ""'"", 'œuvre', 'français', 'classiques', 'et', 'consa¬', 'crés', 'par', 'les', 'siècles', ',', 'chefs', '-', 'd', ""'"", 'œuvre', 'qu', ""'"", 'on', 'peut', 'voir', 'bien', 'mieux', 'représentés', 'à', 'la', 'Co¬', 'médie', '-', 'Française', ',', 'mais', 'd', ""'"", 'y', 'monter', 'les', 'piè¬', 'ces', 'du', 'théâtre', 'étranger', 'dont', 'on', 'parle', 'beau¬', 'coup', 'sans', 'jamais', 'les', 'avoir', 'vu', 'jouer', '.', 'Le', 'théâtre', 'espagnol', ',', 'le', 'théâtre', 'italien', ',', 'le', 'théâtre', 'allemand', ',', 'le', 'théâtre', 'anglais', ',', 'le', 'théâtre', 'danois', ',', 'et', ',', 'au', 'besoin', ',', 'le', 'théâtre', 'hindou', 'défileront', 'ainsi', ',', 'l', ""'"", 'un', 'après', 'l', ""'"", 'autre', ',', 'représentés', 'par', 'leurs', 'œuvres', 'les', 'plus', 're¬', 'marquables', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'E', 'E', 'E', 'E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1606,1606,"['Chaque', 'représentation', 'sera', 'précédée', 'd', ""'"", 'une', 'conférence', 'et', 'des', 'commentateurs', 'plus', 'ou', 'moins', 'érudits', 'expliqueront', ',', 'tour', 'à', 'tour', ',', 'au', 'public', 'Terso', 'de', 'Molina', 'ou', 'Mora¬', 'tin', ',', 'Goldoni', 'ou', 'Alfieri', ',', 'Goëthe', 'ou', 'Schiller', ',', 'Shakspeare', 'ou', 'Ben', 'Jonson', ',', 'OEhlenschla¬', 'ger', 'ou', 'Lessing', '.', 'Il', 'y', 'a', 'là', ',', 'une', 'idée', 'excel¬', 'lente', ',', 'à', 'coup', 'sûr', ',', 'et', 'qui', 'mérite', 'tous', 'les', 'encouragements', '.', 'M', '.', 'Jean', 'Bertrand', 's', ""'"", 'en', 'est', 'fait', 'le', 'héraut', 'dans', 'le', 'feuilleton', 'de', 'la', 'Répu¬', 'blique', 'française', 'et', 'son', 'appel', 'ne', 'pourra', 'que', 'rencontrer', 'la', 'plus', 'grande', 'sympathie', 'et', 'l', ""'"", 'écho', 'le', 'plus', 'profond', 'parmi', 'ses', 'con¬', 'frères', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'E', 'E', 'E', 'O', 'E', 'E', 'O', 'E', 'O', 'E', 'O', 'E', 'O', 'E', 'O', 'E', 'O', 'E', 'E', 'O', 'E', 'E', 'O', 'E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'E', 'E', 'E', 'E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'E', 'E', 'E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 1, 2, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 2, 0, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
