words,ner_c,ner_f
"['De', 'belangen', 'van', 'de', 'Europese', 'Gemeenschap', 'werden', 'daarbij', 'door', 'de', 'Commissie', 'behartigd', '.']","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n']","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n']"
"['De', 'Commissie', 'is', 'van', 'mening', 'dat', 'de', 'doelstellingen', 'bereikt', 'werden', ',', 'die', 'door', 'de', 'Raad', 'in', 'zijn', 'onderhandelingsrichtlijnen', 'werden', 'vooropgesteld', '.']","['n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n']","['n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n']"
"['Het', 'Verdrag', 'voorziet', 'een', 'hoge', 'norm', 'aan', 'preventieve', 'en', 'technische', 'bijstandsmaatregelen', 'in', 'aangelegenheden', 'waarvoor', 'de', 'Gemeenschap', 'bevoegd', 'is', ',', 'in', 'het', 'bijzonder', 'met', 'betrekking', 'tot', 'de', 'interne', 'markt', '.']","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n']","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n']"
"['Dit', 'omvat', 'maatregelen', 'om', 'het', 'witwassen', 'van', 'geld', 'te', 'voorkomen', 'en', 'te', 'bestrijden', ',', 'alsook', 'standaarden', 'voor', 'boekhouding', 'in', 'de', 'privésector', 'en', 'transparantie', 'en', 'de', 'gelijke', 'toegang', 'van', 'alle', 'kandidaten', 'tot', 'leverings-', 'en', 'dienstverleningsopdrachten', 'voor', 'openbare', 'werken', '.']","['n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'T', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'T', 'T', 'n']","['n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'T', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'T', 'T', 'n']"
"['Aangezien', 'de', 'lidstaten', 'verklaarden', 'dat', 'ze', 'het', 'Verdrag', 'zouden', 'ondertekenen', 'zodra', 'het', 'hiervoor', 'werd', 'opengesteld', 'in', 'Merida', ',', 'Mexico', '(', 'Spanje', 'was', 'het', 'enige', 'land', 'van', 'de', 'EU15', 'die', 'dat', 'niet', 'deed', ')', ',', 'was', 'de', 'Commissie', 'van', 'mening', 'dat', 'de', 'Europese', 'Gemeenschap', 'dat', 'eveneens', 'diende', 'te', 'doen', '.']","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n']","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n']"
"['Hiertoe', 'stelde', 'de', 'Commissie', 'voor', 'dat', 'het', 'voorzitterschap', 'van', 'de', 'Raad', 'de', 'personen', 'zou', 'aanwijzen', 'die', 'gemachtigd', 'zouden', 'zijn', 'om', 'het', 'Verdrag', 'namens', 'de', 'Europese', 'Gemeenschap', 'te', 'ondertekenen', '.']","['n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n']","['n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n']"
"['De', 'Raad', 'nam', 'het', 'voorstel', 'van', 'de', 'Commissie', 'zonder', 'debat', 'aan', '.']","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n']","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n']"
"['Bestrijding', 'van', 'corruptie', ':', 'het', 'VN-Verdrag', 'Het', 'Verdrag', 'heeft', 'tot', 'doel', 'om', ':', 'maatregelen', 'te', 'bevorderen', 'en', 'te', 'versterken', 'om', 'corruptie', 'efficiënter', 'en', 'doeltreffend', 'te', 'bestrijden', ';', 'internationale', 'samenwerking', 'en', 'technische', 'bijstand', 'te', 'bevorderen', ',', 'te', 'vergemakkelijken', 'en', 'te', 'ondersteunen', ';', 'integriteit', ',', 'verantwoordelijkheid', 'en', 'behoorlijk', 'beheer', 'van', 'openbare', 'aangelegenheden', 'en', 'openbare', 'eigendommen', 'te', 'bevorderen', '.']","['B-T', 'T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'B-T', 'T', 'n', 'n', 'n']","['B-T', 'T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'B-T', 'T', 'n', 'n', 'n']"
"['Het', 'is', 'van', 'toepassing', 'op', 'het', 'voorkomen', ',', 'onderzoeken', 'en', 'vervolgen', 'van', 'corruptie', 'en', 'het', 'bevriezen', ',', 'in', 'beslag', 'nemen', ',', 'verbeurdverklaren', 'en', 'teruggeven', 'van', 'de', 'opbrengsten', 'van', 'inbreuken', '.']","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'B-T', 'T', 'T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n']","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'B-T', 'T', 'T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n']"
"['Het', 'Verdrag', 'somt', 'de', 'maatregelen', 'om', 'corruptie', 'te', 'voorkomen', ',', 'in', 'detail', 'op', ',', 'inclusief', 'de', 'toepassing', 'van', 'preventieve', 'beleidsmaatregelen', 'en', 'praktijken', ',', 'de', 'oprichting', 'van', 'instanties', 'om', 'hiervoor', 'te', 'zorgen', ',', 'de', 'toepassing', 'van', 'gedragcodes', 'voor', 'ambtenaren', 'en', 'doelstellingscriteria', 'voor', 'de', 'aanwerving', 'en', 'bevordering', 'van', 'ambtenaren', 'en', 'overheidsopdrachten', '.']","['n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n']","['n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n']"
"['Het', 'beveelt', 'de', 'bevordering', 'van', 'transparantie', 'en', 'verantwoordelijkheid', 'bij', 'het', 'beheer', 'van', 'openbare', 'financiën', 'en', 'in', 'de', 'privésector', 'aan', ',', 'met', 'strengere', 'boekhoud-', 'en', 'auditstandaarden', '.']","['n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n']","['n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n']"
"['Verder', 'zijn', 'er', 'maatregelen', 'voorzien', 'om', 'het', 'witwassen', 'van', 'geld', 'te', 'voorkomen', ',', 'evenals', 'maatregelen', 'om', 'de', 'onafhankelijkheid', 'van', 'de', 'rechtspleging', 'te', 'verzekeren', '.']","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'T', 'T', 'n', 'n', 'n']","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'T', 'T', 'n', 'n', 'n']"
"['Publieke', 'rapportering', 'en', 'de', 'participatie', 'van', 'de', 'samenleving', 'worden', 'aangemoedigd', 'als', 'preventieve', 'maatregelen', '.']","['B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n']","['B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n']"
"['Wat', 'strafbaarstelling', ',', 'detectie', 'en', 'repressie', 'betreft', ',', 'raadt', 'het', 'Verdrag', 'de', 'verdragsluitende', 'staten', 'aan', 'om', 'de', 'nodige', 'wetgevings-', 'en', 'andere', 'maatregelen', 'aan', 'te', 'nemen', 'om', 'een', 'hele', 'reeks', 'strafbare', 'feiten', 'vast', 'te', 'leggen', '.']","['n', 'B-T', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n']","['n', 'B-T', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n']"
"['Het', 'gaat', 'hierbij', 'om', ':', 'omkoping', 'van', 'nationale', 'of', 'buitenlandse', 'ambtenaren', 'of', 'functionarissen', 'van', 'internationale', 'organisaties', ';', 'verduistering', ',', 'wederrechtelijke', 'toe-eigening', 'of', 'andere', 'vormen', 'van', 'onttrekking', 'door', 'een', 'ambtenaar', 'van', 'eender', 'welke', 'openbare', 'of', 'privé-eigendom', ';', 'handel', 'in', 'invloed', ';', 'functiemisbruik', 'en', 'onwettige', 'verrijking', '.']","['n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'B-T', 'T', 'T', 'n', 'B-T', 'n', 'B-T', 'T', 'n']","['n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'B-T', 'T', 'T', 'n', 'B-T', 'n', 'B-T', 'T', 'n']"
"['Het', 'Verdrag', 'beschouwt', 'het', 'aanbieden', 'of', 'aanvaarden', 'van', 'ongepaste', 'voordelen', 'voor', 'zichzelf', 'of', 'voor', 'een', 'andere', 'persoon', 'of', 'entiteit', 'in', 'elk', 'opzicht', 'als', 'corruptie', '.']","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n']","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n']"
"['Voor', 'de', 'privésector', 'roept', 'het', 'op', 'tot', 'het', 'introduceren', 'van', 'verduistering', 'en', 'corruptie', 'als', 'misdrijf', '.']","['n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'B-T', 'n']","['n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'B-T', 'n']"
"['Hetzelfde', 'geldt', 'voor', 'het', 'witwassen', 'van', 'de', 'opbrengsten', 'uit', 'misdaad', ',', 'het', 'handelen', 'in', 'gestolen', 'eigendommen', ',', 'het', 'belemmeren', 'van', 'de', 'rechtsgang', 'en', 'het', 'deelnemen', 'aan', 'en', 'het', 'ondernemen', 'van', 'pogingen', 'tot', 'verduistering', 'of', 'corruptie', '.']","['n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n']","['n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n']"
