TOKEN,NE-COARSE-LIT,NE-COARSE-METO,NE-FINE-LIT,NE-FINE-METO,NE-FINE-COMP,NE-NESTED,NEL-LIT,NEL-METO,MISC
Jeunesse,O,_,O,_,_,O,Q3732124,_,_
avait,O,_,O,_,_,O,_,_,_
sa,I-PER,_,O,_,_,O,_,_,_
table,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,_,_,NoSpaceAfter|EndOfSentence
—,I-PER,_,O,_,_,O,_,_,_
Nous,B-ORG,_,O,_,_,O,_,_,_
n,O,_,O,_,_,O,_,_,NoSpaceAfter
',I-PER,_,O,_,_,O,_,_,NoSpaceAfter
avons,B-ORG,_,O,_,_,O,_,_,_
pas,I-PER,_,O,_,_,O,_,_,_
de,I-PER,_,O,_,_,O,_,_,_
vin,B-ORG,_,O,_,_,O,_,_,_
rouge,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
",",O,_,O,_,_,O,_,_,_
me,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
répond,I-PER,_,O,_,_,O,_,_,_
le,B-HumanProd,_,O,_,_,O,_,_,_
garçon,I-ORG,_,O,_,_,O,_,_,NoSpaceAfter
.,I-ORG,_,O,_,_,O,_,_,_
(,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
Celui,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
-,O,_,O,_,_,O,_,_,NoSpaceAfter
ci,O,_,O,_,_,O,_,_,_
a,I-PER,_,O,_,_,O,_,_,_
l,O,_,O,_,_,O,_,_,NoSpaceAfter
',B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
air,O,_,O,_,_,O,_,_,_
protec¬,I-PER,_,O,_,_,O,_,_,NoSpaceAfter|EndOfLine
teur,I-PER,_,O,_,_,O,_,_,_
et,B-ORG,_,O,_,_,O,_,_,_
me,I-PER,_,O,_,_,O,_,_,_
marque,I-PER,_,O,_,_,O,_,_,_
quelque,O,_,O,_,_,O,_,_,_
commisèra,O,_,O,_,_,O,_,_,NoSpaceAfter
tion,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,_,_,_
Brave,I-PER,_,O,_,_,O,_,_,_
cœur,I-PER,_,O,_,_,O,_,_,_
!,O,_,O,_,_,O,_,_,_
Il,O,_,O,_,_,O,_,_,_
croit,B-HumanProd,_,O,_,_,O,_,_,_
que,O,_,O,_,_,O,_,_,_
je,I-PER,_,O,_,_,O,_,_,_
me,I-PER,_,O,_,_,O,_,_,_
sui¬,O,_,O,_,_,O,_,_,NoSpaceAfter|EndOfLine
trompé,I-PER,_,O,_,_,O,_,_,_
d,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
',I-PER,_,O,_,_,O,_,_,NoSpaceAfter
établissement,O,_,O,_,_,O,_,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,_,_,NoSpaceAfter|EndOfSentence
),I-PER,_,O,_,_,O,_,_,_
Nous,I-PER,_,O,_,_,O,_,_,_
n,I-ORG,_,O,_,_,O,_,_,NoSpaceAfter
',I-PER,_,O,_,_,O,_,_,NoSpaceAfter
enavon¬,I-PER,_,O,_,_,O,_,_,NoSpaceAfter|EndOfLine
qu,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
',I-PER,_,O,_,_,O,_,_,NoSpaceAfter
en,O,_,O,_,_,O,_,_,_
bouteille,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,_,_,_
Voulez,O,_,O,_,_,O,_,_,NoSpaceAfter
-,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
vous,I-PER,_,O,_,_,O,_,_,_
du,I-PER,_,O,_,_,O,_,_,_
bli,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
J,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
',I-PER,_,O,_,_,O,_,_,NoSpaceAfter
accepte,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,_,_,_
Et,I-PER,_,O,_,_,O,_,_,_
le,I-PER,_,O,_,_,O,_,_,_
même,O,_,O,_,_,O,_,_,_
cérémoninl,I-PER,_,O,_,_,O,_,_,_
que,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
précédemment,O,_,O,_,_,O,_,_,_
recommence,O,_,O,_,_,O,_,_,NoSpaceAfter
.,O,_,O,_,_,O,_,_,_
Les,I-PER,_,O,_,_,O,_,_,_
garçons,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,_,_,NoSpaceAfter|EndOfSentence
en,O,_,O,_,_,O,_,_,_
effet,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
",",I-ORG,_,O,_,_,O,_,_,_
vont,I-PER,_,O,_,_,O,_,_,_
par,I-ORG,_,O,_,_,O,_,_,_
deux,I-PER,_,O,_,_,O,_,_,_
comme,I-PER,_,O,_,_,O,_,_,_
les,I-ORG,_,O,_,_,O,_,_,_
alexan¬,I-PER,_,O,_,_,O,_,_,NoSpaceAfter|EndOfLine
drins,I-ORG,_,O,_,_,O,_,_,_
et,I-PER,_,O,_,_,O,_,_,_
les,I-PER,_,O,_,_,O,_,_,_
chevaux,I-PER,_,O,_,_,O,_,_,_
de,I-PER,_,O,_,_,O,_,_,_
corbillard,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,_,_,NoSpaceAfter|EndOfSentence
—,B-ORG,_,O,_,_,O,_,_,_
1,I-PER,_,O,_,_,O,_,_,_
fr,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
.,O,_,O,_,_,O,_,_,_
25,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
",",B-HumanProd,_,O,_,_,O,_,_,_
monsieur,B-HumanProd,_,O,_,_,O,_,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,_,_,NoSpaceAfter|EndOfSentence
Je,I-PER,_,O,_,_,O,_,_,_
reste,I-PER,_,O,_,_,O,_,_,_
seul,O,_,O,_,_,O,_,_,_
devant,I-PER,_,O,_,_,O,_,_,_
mon,O,_,O,_,_,O,_,_,_
vin,B-ORG,_,O,_,_,O,_,_,_
blanc,I-LOC,_,O,_,_,O,_,_,NoSpaceAfter
.,O,_,O,_,_,O,_,_,NoSpaceAfter|EndOfSentence
Et,I-PER,_,O,_,_,O,_,_,_
je,O,_,O,_,_,O,_,_,_
sens,O,_,O,_,_,O,_,_,_
peu,O,_,O,_,_,O,_,_,_
à,O,_,O,_,_,O,_,_,_
peu,O,_,O,_,_,O,_,_,_
m,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
',O,_,O,_,_,O,_,_,NoSpaceAfter
envahir,I-PER,_,O,_,_,O,_,_,_
la,I-PER,_,O,_,_,O,_,_,_
mé¬,O,_,O,_,_,O,_,_,NoSpaceAfter|EndOfLine
lancolie,B-HumanProd,_,O,_,_,O,_,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,_
apanage,I-PER,_,O,_,_,O,_,_,_
de,I-PER,_,O,_,_,O,_,_,_
ceux,O,_,O,_,_,O,_,_,_
qui,O,_,O,_,_,O,_,_,_
ne,I-PER,_,O,_,_,O,_,_,_
font,I-ORG,_,O,_,_,O,_,_,_
pas,O,_,O,_,_,O,_,_,NoSpaceAfter
comme,I-PER,_,O,_,_,O,_,_,_
tout,B-ORG,_,O,_,_,O,_,_,_
le,O,_,O,_,_,O,_,_,_
monde,O,_,O,_,_,O,_,_,NoSpaceAfter
.,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter|EndOfSentence
Une,B-ORG,_,O,_,_,O,_,_,_
femme,O,_,O,_,_,O,_,_,_
peut,O,_,O,_,_,O,_,_,NoSpaceAfter
-,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
elle,I-PER,_,O,_,_,O,_,_,_
boire,O,_,O,_,_,O,_,_,_
de,O,_,O,_,_,O,_,_,_
vin,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
au,I-PER,_,O,_,_,O,_,_,_
café,I-ORG,_,O,_,_,O,_,_,_
?,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
La,O,_,O,_,_,O,_,_,_
salle,O,_,O,_,_,O,_,_,_
du,I-PER,_,O,_,_,O,_,_,_
café,I-PER,_,O,_,_,O,NIL,_,_
Mollard,I-PER,_,O,_,_,O,NIL,_,_
est,O,_,O,_,_,O,_,_,_
pleine,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
d,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
',B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
habitués,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,_,_,_
Le,O,_,O,_,_,O,_,_,_
garçon,I-PER,_,O,_,_,O,_,_,_
m,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
',I-PER,_,O,_,_,O,_,_,NoSpaceAfter
indique,O,_,O,_,_,O,_,_,_
une,I-PER,_,O,_,_,O,_,_,_
petite,O,_,O,_,_,O,_,_,NoSpaceAfter
table,O,_,O,_,_,O,_,_,_
vide,O,_,O,_,_,O,_,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,_
au,I-PER,_,O,_,_,O,_,_,_
beau,B-ORG,_,O,_,_,O,_,_,_
milieu,I-PER,_,O,_,_,O,_,_,_
de,O,_,O,_,_,O,_,_,_
l,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
',O,_,O,_,_,O,_,_,NoSpaceAfter
assemblée,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
des,O,_,O,_,_,O,_,_,_
buveurs,O,_,O,_,_,O,_,_,_
:,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
—,O,_,O,_,_,O,_,_,_
Ce,I-ORG,_,O,_,_,O,_,_,_
sera,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
",",B-ORG,_,O,_,_,O,_,_,_
pour,I-PER,_,O,_,_,O,_,_,_
Madame,I-PER,_,O,_,_,O,_,_,_
?,O,_,O,_,_,O,_,_,NoSpaceAfter
—,O,_,O,_,_,O,_,_,_
Un,O,_,O,_,_,O,_,_,_
verre,O,_,O,_,_,O,_,_,_
de,B-ORG,_,O,_,_,O,_,_,_
bordeaux,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
.,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,_,_,NoSpaceAfter|EndOfSentence
Il,I-PER,_,O,_,_,O,_,_,_
s,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
',B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
agit,I-PER,_,O,_,_,O,_,_,_
d,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
',B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
un,I-PER,_,O,_,_,O,_,_,_
avion,I-PER,_,O,_,_,O,_,_,_
Nieuport,I-PER,_,O,_,_,O,Q1231877,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,_
ayant,B-ORG,_,O,_,_,O,_,_,_
ap¬,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter|EndOfLine
partenu,I-PER,_,O,_,_,O,_,_,_
à,B-ORG,_,O,_,_,O,_,_,_
l,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
',B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
escadrille,O,_,O,_,_,O,NIL,_,_
de,B-ORG,_,O,_,_,O,NIL,_,_
chasse,O,_,O,_,_,O,NIL,_,_
numéro,I-PER,_,O,_,_,O,NIL,_,NoSpaceAfter
103,O,_,O,_,_,O,NIL,_,NoSpaceAfter
",",O,_,O,_,_,O,_,_,_
porté,O,_,O,_,_,O,_,_,_
perdu,B-HumanProd,_,O,_,_,O,_,_,_
à,I-PER,_,O,_,_,O,_,_,_
l,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
’,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
ennemi,O,_,O,_,_,O,_,_,_
le,I-PER,_,O,_,_,O,_,_,_
24,O,_,O,_,_,O,_,_,_
septembre,O,_,O,_,_,O,_,_,NoSpaceAfter
1916,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,_,_,NoSpaceAfter|EndOfSentence
Ce,O,_,O,_,_,O,_,_,_
jour,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
-,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
là,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,_
deux,I-PER,_,O,_,_,O,_,_,_
avions,O,_,O,_,_,O,_,_,_
de,O,_,O,_,_,O,_,_,_
cette,O,_,O,_,_,O,_,_,_
esca¬,O,_,O,_,_,O,_,_,NoSpaceAfter|EndOfLine
drille,I-ORG,_,O,_,_,O,_,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,_
l,O,_,O,_,_,O,_,_,NoSpaceAfter
',I-PER,_,O,_,_,O,_,_,NoSpaceAfter
un,I-PER,_,O,_,_,O,_,_,_
piloté,I-PER,_,O,_,_,O,_,_,_
par,I-PER,_,O,_,_,O,_,_,_
le,I-PER,_,O,_,_,O,_,_,_
sergent,I-PER,_,O,_,_,O,NIL,_,_
Andre,O,_,O,_,_,O,NIL,_,NoSpaceAfter
Steuer,I-PER,_,O,_,_,O,NIL,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,_
l,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
',I-PER,_,O,_,_,O,_,_,NoSpaceAfter
autre,I-PER,_,O,_,_,O,_,_,_
par,I-PER,_,O,_,_,O,_,_,_
le,B-ORG,_,O,_,_,O,_,_,_
sergent,B-HumanProd,_,O,_,_,O,NIL,_,_
François,I-PER,_,O,_,_,O,NIL,_,_
Ro¬,O,_,O,_,_,O,NIL,_,NoSpaceAfter|EndOfLine
mans,I-PER,_,O,_,_,O,NIL,_,_
se,O,_,O,_,_,O,_,_,_
sont,O,_,O,_,_,O,_,_,_
heurtés,O,_,O,_,_,O,_,_,_
en,I-PER,_,O,_,_,O,_,_,_
attaquant,I-PER,_,O,_,_,O,_,_,_
un,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
avion,I-ORG,_,O,_,_,O,_,_,_
allemand,B-ORG,_,O,_,_,O,_,_,_
dans,O,_,O,_,_,O,_,_,_
la,I-PER,_,O,_,_,O,_,_,_
région,I-PER,_,O,_,_,O,_,_,_
de,I-PER,_,O,_,_,O,_,_,_
Rau¬,B-HumanProd,_,O,_,_,O,Q227538,_,NoSpaceAfter|EndOfLine
court,I-ORG,_,O,_,_,O,Q227538,_,NoSpaceAfter
.,O,_,O,_,_,O,_,_,_
Ces,O,_,O,_,_,O,_,_,_
deux,I-PER,_,O,_,_,O,_,_,_
appareils,O,_,O,_,_,O,_,_,_
sont,I-PER,_,O,_,_,O,_,_,_
tombés,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
",",B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
désemparés,O,_,O,_,_,O,_,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,_
dans,I-PER,_,O,_,_,O,_,_,_
le,B-ORG,_,O,_,_,O,_,_,_
bois,B-ORG,_,O,_,_,O,Q49327089,_,_
de,I-PER,_,O,_,_,O,Q49327089,_,_
Saint,I-ORG,_,O,_,_,O,Q49327089,_,NoSpaceAfter
-,I-ORG,_,O,_,_,O,Q49327089,_,NoSpaceAfter
Pierre¬,O,_,O,_,_,O,Q49327089,_,NoSpaceAfter|EndOfLine
Vaast,I-PER,_,O,_,_,O,Q49327089,_,NoSpaceAfter
.,I-ORG,_,O,_,_,O,_,_,NoSpaceAfter|EndOfSentence
Les,I-PER,_,O,_,_,O,_,_,_
familles,O,_,O,_,_,O,_,_,_
des,I-PER,_,O,_,_,O,_,_,_
deux,I-PER,_,O,_,_,O,_,_,_
malheureux,I-PER,_,O,_,_,O,_,_,_
pilo¬,I-PER,_,O,_,_,O,_,_,NoSpaceAfter|EndOfLine
tes,I-PER,_,O,_,_,O,_,_,_
ont,B-ORG,_,O,_,_,O,_,_,_
été,I-PER,_,O,_,_,O,_,_,_
prévenues,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
",",B-ORG,_,O,_,_,O,_,_,_
afin,I-PER,_,O,_,_,O,_,_,_
de,B-ORG,_,O,_,_,O,_,_,_
pouvoir,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
déterminer,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
",",B-ORG,_,O,_,_,O,_,_,_
par,I-PER,_,O,_,_,O,_,_,_
des,I-ORG,_,O,_,_,O,_,_,_
renseignements,I-PER,_,O,_,_,O,_,_,_
d,I-ORG,_,O,_,_,O,_,_,NoSpaceAfter
',I-PER,_,O,_,_,O,_,_,NoSpaceAfter
or¬,I-PER,_,O,_,_,O,_,_,NoSpaceAfter|EndOfLine
dre,I-PER,_,O,_,_,O,_,_,_
particulier,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,_
l,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
',I-PER,_,O,_,_,O,_,_,NoSpaceAfter
identification,I-PER,_,O,_,_,O,_,_,_
définitive,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
du,I-PER,_,O,_,_,O,_,_,_
corps,O,_,O,_,_,O,_,_,_
retrouvé,O,_,O,_,_,O,_,_,_
dans,I-PER,_,O,_,_,O,_,_,_
l,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
’,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
appareil,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
.,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter|EndOfSentence
RHOM,I-PER,_,O,_,_,O,Q3030726,_,_
SUAMES,I-PER,_,O,_,_,O,Q3030726,_,_
Les,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
Grands,I-PER,_,O,_,_,O,_,_,_
Crus,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
de,I-PER,_,O,_,_,O,_,_,_
5,O,_,O,_,_,O,_,_,_
James,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
(,O,_,O,_,_,O,_,_,NoSpaceAfter
Antilles,I-PER,_,O,_,_,O,Q166131,_,NoSpaceAfter
),B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
MARQUE,O,_,O,_,_,O,_,_,NoSpaceAfter
Rhum,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
Grand,I-PER,_,O,_,_,O,_,_,_
Cru,I-LOC,_,O,_,_,O,_,_,NoSpaceAfter
unique,B-HumanProd,_,O,_,_,O,_,_,NoSpaceAfter
Monde,O,_,O,_,_,O,_,_,NoSpaceAfter
.,I-PER,_,O,_,_,O,_,_,NoSpaceAfter|EndOfSentence
Les,I-PER,_,O,_,_,O,_,_,_
Plantations,B-ORG,_,O,_,_,O,_,_,_
st,I-PER,_,O,_,_,O,Q3030726,_,NoSpaceAfter
-,I-PER,_,O,_,_,O,Q3030726,_,NoSpaceAfter
James,I-PER,_,O,_,_,O,Q3030726,_,_
doivent,O,_,O,_,_,O,_,_,_
e,I-PER,_,O,_,_,O,_,_,_
e,O,_,O,_,_,O,_,_,_
paes,O,_,O,_,_,O,_,_,NoSpaceAfter
lountes,O,_,O,_,_,O,_,_,_
à,I-PER,_,O,_,_,O,_,_,_
leure,I-PER,_,O,_,_,O,_,_,_
nauns,O,_,O,_,_,O,_,_,_
pa,O,_,O,_,_,O,_,_,NoSpaceAfter
an,I-PER,_,O,_,_,O,_,_,_
pramter,I-PER,_,O,_,_,O,_,_,_
rant,I-PER,_,O,_,_,O,_,_,_
par,I-PER,_,O,_,_,O,_,_,_
leur,I-PER,_,O,_,_,O,_,_,_
ansene,I-ORG,_,O,_,_,O,_,_,NoSpaceAfter
e,O,_,O,_,_,O,_,_,_
te,O,_,O,_,_,O,_,_,_
surerer,O,_,O,_,_,O,_,_,_
mair,O,_,O,_,_,O,_,_,_
et,O,_,O,_,_,O,_,_,_
taur,O,_,O,_,_,O,_,_,NoSpaceAfter
e,O,_,O,_,_,O,_,_,_
le,I-PER,_,O,_,_,O,_,_,_
pepidee,I-ORG,_,O,_,_,O,_,_,_
quuy,O,_,O,_,_,O,_,_,_
et,O,_,O,_,_,O,_,_,NoSpaceAfter
tatos,B-ORG,_,O,_,_,O,_,_,_
la,O,_,O,_,_,O,_,_,_
senien,B-ORG,_,O,_,_,O,_,_,_
toes,B-HumanProd,_,O,_,_,O,_,_,_
a,I-PER,_,O,_,_,O,_,_,_
esue,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
PLAREATCAneatle,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,_
REMERLE,I-PER,_,O,_,_,O,_,_,_
SORPRIUE,I-PER,_,O,_,_,O,_,_,_
LONDES,B-HumanProd,_,O,_,_,O,_,_,NoSpaceAfter
Produit,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
de,I-PER,_,O,_,_,O,_,_,_
haute,B-HumanProd,_,O,_,_,O,_,_,NoSpaceAfter
sélection,B-HumanProd,_,O,_,_,O,_,_,NoSpaceAfter
",",B-ORG,_,O,_,_,O,_,_,_
provenant,I-PER,_,O,_,_,O,_,_,_
d,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
',I-PER,_,O,_,_,O,_,_,NoSpaceAfter
incomparables,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
terroirs,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,_
élaboré,O,_,O,_,_,O,_,_,_
longuement,O,_,O,_,_,O,_,_,_
et,O,_,O,_,_,O,_,_,_
à,O,_,O,_,_,O,_,_,_
grands,O,_,O,_,_,O,_,_,NoSpaceAfter
frais,I-PER,_,O,_,_,O,_,_,_
dans,I-ORG,_,O,_,_,O,_,_,_
les,O,_,O,_,_,O,_,_,_
vieilles,O,_,O,_,_,O,_,_,_
Rhummeries,I-ORG,_,O,_,_,O,_,_,NoSpaceAfter
St,O,_,O,_,_,O,Q3030726,_,_
James,I-PER,_,O,_,_,O,Q3030726,_,NoSpaceAfter
",",I-ORG,_,O,_,_,O,_,_,_
où,I-PER,_,O,_,_,O,_,_,_
se,B-ORG,_,O,_,_,O,_,_,_
transmettent,I-PER,_,O,_,_,O,_,_,_
de,I-PER,_,O,_,_,O,_,_,_
géné¬,I-PER,_,O,_,_,O,_,_,NoSpaceAfter|EndOfLine
ration,O,_,O,_,_,O,_,_,_
en,O,_,O,_,_,O,_,_,_
génération,O,_,O,_,_,O,_,_,_
les,O,_,O,_,_,O,_,_,_
procédés,O,_,O,_,_,O,_,_,NoSpaceAfter
spéciaux,I-PER,_,O,_,_,O,_,_,_
et,I-PER,_,O,_,_,O,_,_,_
les,I-PER,_,O,_,_,O,_,_,_
secrets,I-PER,_,O,_,_,O,_,_,_
de,I-PER,_,O,_,_,O,_,_,_
fabrication,I-PER,_,O,_,_,O,_,_,NoSpaceAfter
de,I-PER,_,O,_,_,O,_,_,_
St,I-PER,_,O,_,_,O,Q3030726,_,_
James,I-PER,_,O,_,_,O,Q3030726,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,_
vieilli,B-ORG,_,O,_,_,O,_,_,_
sous,O,_,O,_,_,O,_,_,_
le,B-HumanProd,_,O,_,_,O,_,_,_
ciel,I-PER,_,O,_,_,O,_,_,_
tropical,B-ORG,_,O,_,_,O,_,_,NoSpaceAfter
",",I-PER,_,O,_,_,O,_,_,NoSpaceAfter
le,B-ORG,_,O,_,_,O,_,_,_
Rhum,I-PER,_,O,_,_,O,_,_,_
St,I-PER,_,O,_,_,O,Q3030726,_,_
James,I-PER,_,O,_,_,O,Q3030726,_,_
